2021-09-20 14:48:15:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-20_12.txt
    return eval(value, idmap), bound_list
  File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\static\kivy_files\main.kv", line 1120, in <module>
    text:len(utils.GeneralMethods.Auth_table_dict['serial_key'])*'X' if type(utils.GeneralMethods.Auth_table_dict['remaining_days']) == int  else ''

  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 697, in _apply_rule
    rctx['ids'])
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 247, in create_handler
    cause=tb)

2021-09-29 12:02:09:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_28.txt
2021-09-29 12:02:09:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 12:02:09:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 12:02:09:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 12:02:09:[Kivy        ] v2.0.0
2021-09-29 12:02:09:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 12:02:09:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 12:02:09:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 12:02:09:[KivyMD      ] v0.104.1
2021-09-29 12:02:09:[Factory     ] 186 symbols loaded
2021-09-29 12:02:09:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 12:02:09:[Window      ] Provider: sdl2
2021-09-29 12:02:09:[Window      ] Activate GLES2/ANGLE context
2021-09-29 12:02:09:[GL          ] Using the "OpenGL" graphics system
2021-09-29 12:02:09:[GL          ] Backend used <angle_sdl2>
2021-09-29 12:02:09:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:02:09:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 12:02:09:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 12:02:09:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 12:02:09:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:02:09:[GL          ] Texture max size <16384>
2021-09-29 12:02:09:[GL          ] Texture max units <16>
2021-09-29 12:02:09:[Window      ] auto add sdl2 input provider
2021-09-29 12:02:09:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 12:02:09:[Text        ] Provider: sdl2
2021-09-29 12:02:09:[GL          ] NPOT texture support is available
2021-09-29 12:02:10:[GL          ] Unpack subimage support is available
2021-09-29 12:02:11:[Base        ] Start application main loop
2021-09-29 12:02:44:[Clipboard   ] Provider: winctypes
2021-09-29 12:02:50:Deprecated property "<VariableListProperty name=padding_x>" of object "<Empx.utilskv.OTP_TXTInput object at 0x000002952FF7E978>" was accessed, it will be removed in a future version
2021-09-29 12:04:09:[Base        ] Leaving application in progress...
2021-09-29 12:04:09:ERROR-MESSAGE
Traceback (most recent call last):
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 242, in create_handler
    return eval(value, idmap), bound_list
  File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\static\kivy_files\main.kv", line 1120, in <module>
    text:len(utils.GeneralMethods.Auth_table_dict['serial_key'])*'X' if type(utils.GeneralMethods.Auth_table_dict['remaining_days']) == int  else ''
TypeError: object of type 'int' has no len()

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 697, in _apply_rule
    rctx['ids'])
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 247, in create_handler
    cause=tb)
kivy.lang.builder.BuilderException: Parser: File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\static\kivy_files\main.kv", line 1120:
...
   1118:            pos_hint:{"x":0.02,"y":0.27}
   1119:            font_size:self.height/4.5
>> 1120:            text:len(utils.GeneralMethods.Auth_table_dict['serial_key'])*'X' if type(utils.GeneralMethods.Auth_table_dict['remaining_days']) == int  else ''
   1121:            font_name:Factory.AntivirusGUI.font_path+'Montserrat-Medium.ttf'
   1122:
...
TypeError: object of type 'int' has no len()
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 242, in create_handler
    return eval(value, idmap), bound_list
  File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\static\kivy_files\main.kv", line 1120, in <module>
    text:len(utils.GeneralMethods.Auth_table_dict['serial_key'])*'X' if type(utils.GeneralMethods.Auth_table_dict['remaining_days']) == int  else ''


During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\antivirus_gui.py", line 1492, in <module>
    AntivirusSoftware().run()
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\app.py", line 950, in run
    runTouchApp()
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\base.py", line 582, in runTouchApp
    EventLoop.mainloop()
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\base.py", line 347, in mainloop
    self.idle()
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\base.py", line 391, in idle
    self.dispatch_input()
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\base.py", line 342, in dispatch_input
    post_dispatch_input(*pop(0))
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\base.py", line 308, in post_dispatch_input
    wid.dispatch('on_touch_up', me)
  File "kivy\_event.pyx", line 709, in kivy._event.EventDispatcher.dispatch
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\uix\behaviors\button.py", line 179, in on_touch_up
    self.dispatch('on_release')
  File "kivy\_event.pyx", line 705, in kivy._event.EventDispatcher.dispatch
  File "kivy\_event.pyx", line 1248, in kivy._event.EventObservers.dispatch
  File "kivy\_event.pyx", line 1132, in kivy._event.EventObservers._dispatch
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 57, in custom_callback
    exec(__kvlang__.co_value, idmap)
  File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\static\kivy_files\main.kv", line 698, in <module>
    object_data = Factory.license_popup()
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\uix\modalview.py", line 187, in __init__
    super(ModalView, self).__init__(**kwargs)
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\uix\anchorlayout.py", line 68, in __init__
    super(AnchorLayout, self).__init__(**kwargs)
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\uix\layout.py", line 76, in __init__
    super(Layout, self).__init__(**kwargs)
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\uix\widget.py", line 361, in __init__
    rule_children=rule_children)
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\uix\widget.py", line 465, in apply_class_lang_rules
    rule_children=rule_children)
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 543, in apply
    rule_children=rule_children)
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 712, in _apply_rule
    e), cause=tb)
kivy.lang.builder.BuilderException: Parser: File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\static\kivy_files\main.kv", line 1120:
...
   1118:            pos_hint:{"x":0.02,"y":0.27}
   1119:            font_size:self.height/4.5
>> 1120:            text:len(utils.GeneralMethods.Auth_table_dict['serial_key'])*'X' if type(utils.GeneralMethods.Auth_table_dict['remaining_days']) == int  else ''
   1121:            font_name:Factory.AntivirusGUI.font_path+'Montserrat-Medium.ttf'
   1122:
...
BuilderException: Parser: File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\static\kivy_files\main.kv", line 1120:
...
   1118:            pos_hint:{"x":0.02,"y":0.27}
   1119:            font_size:self.height/4.5
>> 1120:            text:len(utils.GeneralMethods.Auth_table_dict['serial_key'])*'X' if type(utils.GeneralMethods.Auth_table_dict['remaining_days']) == int  else ''
   1121:            font_name:Factory.AntivirusGUI.font_path+'Montserrat-Medium.ttf'
   1122:
...
TypeError: object of type 'int' has no len()
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 242, in create_handler
    return eval(value, idmap), bound_list
  File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\static\kivy_files\main.kv", line 1120, in <module>
    text:len(utils.GeneralMethods.Auth_table_dict['serial_key'])*'X' if type(utils.GeneralMethods.Auth_table_dict['remaining_days']) == int  else ''

  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 697, in _apply_rule
    rctx['ids'])
  File "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\lang\builder.py", line 247, in create_handler
    cause=tb)

2021-09-29 12:05:50:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_29.txt
2021-09-29 12:05:50:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 12:05:50:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 12:05:50:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 12:05:50:[Kivy        ] v2.0.0
2021-09-29 12:05:50:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 12:05:50:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 12:05:50:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 12:05:50:[KivyMD      ] v0.104.1
2021-09-29 12:05:50:[Factory     ] 186 symbols loaded
2021-09-29 12:05:50:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 12:05:50:[Window      ] Provider: sdl2
2021-09-29 12:05:50:[Window      ] Activate GLES2/ANGLE context
2021-09-29 12:05:50:[GL          ] Using the "OpenGL" graphics system
2021-09-29 12:05:50:[GL          ] Backend used <angle_sdl2>
2021-09-29 12:05:50:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:05:50:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 12:05:50:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 12:05:50:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 12:05:50:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:05:50:[GL          ] Texture max size <16384>
2021-09-29 12:05:50:[GL          ] Texture max units <16>
2021-09-29 12:05:50:[Window      ] auto add sdl2 input provider
2021-09-29 12:05:50:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 12:05:50:[Text        ] Provider: sdl2
2021-09-29 12:05:50:[GL          ] NPOT texture support is available
2021-09-29 12:05:51:[GL          ] Unpack subimage support is available
2021-09-29 12:05:52:[Base        ] Start application main loop
2021-09-29 12:07:07:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_30.txt
2021-09-29 12:07:07:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 12:07:07:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 12:07:07:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 12:07:07:[Kivy        ] v2.0.0
2021-09-29 12:07:07:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 12:07:07:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 12:07:07:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 12:07:07:[KivyMD      ] v0.104.1
2021-09-29 12:07:07:[Factory     ] 186 symbols loaded
2021-09-29 12:07:07:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 12:07:07:[Window      ] Provider: sdl2
2021-09-29 12:07:08:[Window      ] Activate GLES2/ANGLE context
2021-09-29 12:07:08:[GL          ] Using the "OpenGL" graphics system
2021-09-29 12:07:08:[GL          ] Backend used <angle_sdl2>
2021-09-29 12:07:08:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:07:08:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 12:07:08:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 12:07:08:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 12:07:08:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:07:08:[GL          ] Texture max size <16384>
2021-09-29 12:07:08:[GL          ] Texture max units <16>
2021-09-29 12:07:08:[Window      ] auto add sdl2 input provider
2021-09-29 12:07:08:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 12:07:08:[Text        ] Provider: sdl2
2021-09-29 12:07:08:[GL          ] NPOT texture support is available
2021-09-29 12:07:08:[GL          ] Unpack subimage support is available
2021-09-29 12:07:10:[Base        ] Start application main loop
2021-09-29 12:07:24:[Clipboard   ] Provider: winctypes
2021-09-29 12:07:30:Deprecated property "<VariableListProperty name=padding_x>" of object "<Empx.utilskv.OTP_TXTInput object at 0x000001FB2820B668>" was accessed, it will be removed in a future version
2021-09-29 12:10:35:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_31.txt
2021-09-29 12:10:35:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 12:10:35:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 12:10:35:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 12:10:35:[Kivy        ] v2.0.0
2021-09-29 12:10:35:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 12:10:35:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 12:10:35:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 12:10:35:[KivyMD      ] v0.104.1
2021-09-29 12:10:35:[Factory     ] 186 symbols loaded
2021-09-29 12:10:35:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 12:10:36:[Window      ] Provider: sdl2
2021-09-29 12:10:36:[Window      ] Activate GLES2/ANGLE context
2021-09-29 12:10:36:[GL          ] Using the "OpenGL" graphics system
2021-09-29 12:10:36:[GL          ] Backend used <angle_sdl2>
2021-09-29 12:10:36:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:10:36:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 12:10:36:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 12:10:36:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 12:10:36:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:10:36:[GL          ] Texture max size <16384>
2021-09-29 12:10:36:[GL          ] Texture max units <16>
2021-09-29 12:10:36:[Window      ] auto add sdl2 input provider
2021-09-29 12:10:36:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 12:10:36:[Text        ] Provider: sdl2
2021-09-29 12:10:36:[GL          ] NPOT texture support is available
2021-09-29 12:10:36:[GL          ] Unpack subimage support is available
2021-09-29 12:10:38:[Base        ] Start application main loop
2021-09-29 12:10:52:[Clipboard   ] Provider: winctypes
2021-09-29 12:10:59:Deprecated property "<VariableListProperty name=padding_x>" of object "<Empx.utilskv.OTP_TXTInput object at 0x000001F4B516A668>" was accessed, it will be removed in a future version
2021-09-29 12:11:54:Full-Scan Process Started !!
2021-09-29 12:11:54:[Act_Drivers ] ['C:/', 'D:/']
2021-09-29 12:13:23:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_32.txt
2021-09-29 12:13:23:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 12:13:23:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 12:13:23:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 12:13:23:[Kivy        ] v2.0.0
2021-09-29 12:13:23:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 12:13:23:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 12:13:23:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 12:13:23:[KivyMD      ] v0.104.1
2021-09-29 12:13:23:[Factory     ] 186 symbols loaded
2021-09-29 12:13:23:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 12:13:23:[Window      ] Provider: sdl2
2021-09-29 12:13:23:[Window      ] Activate GLES2/ANGLE context
2021-09-29 12:13:23:[GL          ] Using the "OpenGL" graphics system
2021-09-29 12:13:23:[GL          ] Backend used <angle_sdl2>
2021-09-29 12:13:23:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:13:23:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 12:13:23:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 12:13:23:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 12:13:23:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:13:23:[GL          ] Texture max size <16384>
2021-09-29 12:13:23:[GL          ] Texture max units <16>
2021-09-29 12:13:23:[Window      ] auto add sdl2 input provider
2021-09-29 12:13:23:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 12:13:23:[Text        ] Provider: sdl2
2021-09-29 12:13:23:[GL          ] NPOT texture support is available
2021-09-29 12:13:24:[GL          ] Unpack subimage support is available
2021-09-29 12:13:25:[Base        ] Start application main loop
2021-09-29 12:13:26:Full-Scan Process Started !!
2021-09-29 12:13:27:[Act_Drivers ] ['C:/', 'D:/']
2021-09-29 12:13:48:Full-Scan Process Started !!
2021-09-29 12:13:48:[Act_Drivers ] ['C:/', 'D:/']
2021-09-29 12:13:51:Full-Scan Process Started !!
2021-09-29 12:13:51:[Act_Drivers ] ['C:/', 'D:/']
2021-09-29 12:17:52:[Custom-scanPath ] C:\Users\Sankar_Senthil\Downloads\malwares.zip
2021-09-29 12:18:35:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_0.txt
2021-09-29 12:18:35:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 12:18:35:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 12:18:35:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 12:18:35:[Kivy        ] v2.0.0
2021-09-29 12:18:35:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 12:18:35:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 12:18:35:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 12:18:35:[KivyMD      ] v0.104.1
2021-09-29 12:18:35:[Factory     ] 186 symbols loaded
2021-09-29 12:18:35:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 12:18:35:[Window      ] Provider: sdl2
2021-09-29 12:18:35:[Window      ] Activate GLES2/ANGLE context
2021-09-29 12:18:35:[GL          ] Using the "OpenGL" graphics system
2021-09-29 12:18:35:[GL          ] Backend used <angle_sdl2>
2021-09-29 12:18:35:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:18:35:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 12:18:35:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 12:18:35:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 12:18:35:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 12:18:35:[GL          ] Texture max size <16384>
2021-09-29 12:18:35:[GL          ] Texture max units <16>
2021-09-29 12:18:35:[Window      ] auto add sdl2 input provider
2021-09-29 12:18:35:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 12:18:35:[Text        ] Provider: sdl2
2021-09-29 12:18:36:[GL          ] NPOT texture support is available
2021-09-29 12:18:36:[GL          ] Unpack subimage support is available
2021-09-29 12:18:37:[Base        ] Start application main loop
2021-09-29 12:18:43:[Custom-scanPath ] C:\Users\Sankar_Senthil\Downloads\malwares.zip
2021-09-29 12:18:46:antivirus_encryptor Method call received.
2021-09-29 12:19:16:[Exception in pyzipper-AES ] [WinError 32] The process cannot access the file because it is being used by another process: 'C:/Users/Sankar_Senthil/Downloads/malwares.zip'
Traceback (most recent call last):
  File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\Empx\utils.py", line 628, in antivirus_encryptor
    os.remove(source_file)
PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'C:/Users/Sankar_Senthil/Downloads/malwares.zip'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "d:\Dima_Antivirus\DimaAV_Basic\WINDOWS-BUILD\AV_BUILD\DimaAV_Build\PROGRAMMING_CODES\Empx\utils.py", line 632, in antivirus_encryptor
    os.remove(source_file)
PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'C:/Users/Sankar_Senthil/Downloads/malwares.zip'
2021-09-29 12:20:25:[Custom-scanPath ] C:\Users\Sankar_Senthil\Downloads\malwares.zip
2021-09-29 12:20:28:antivirus_encryptor Method call received.
2021-09-29 12:20:58:Source File Removed Successfully.
2021-09-29 12:26:42:[NEW External Device Found ] E:/
2021-09-29 12:26:42:[usbScan method call received.. E]/
2021-09-29 12:28:57:Full-Scan Process Started !!
2021-09-29 12:28:57:[Act_Drivers ] ['C:/', 'D:/']
2021-09-29 12:38:17:Internet-Connection Error
2021-09-29 14:56:06:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_0.txt
2021-09-29 14:56:06:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 14:56:06:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 14:56:06:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 14:56:06:[Kivy        ] v2.0.0
2021-09-29 14:56:06:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 14:56:06:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 14:56:06:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 14:56:06:[KivyMD      ] v0.104.1
2021-09-29 14:56:06:[Factory     ] 186 symbols loaded
2021-09-29 14:56:07:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 14:56:07:[Window      ] Provider: sdl2
2021-09-29 14:56:07:[Window      ] Activate GLES2/ANGLE context
2021-09-29 14:56:07:[GL          ] Using the "OpenGL" graphics system
2021-09-29 14:56:07:[GL          ] Backend used <angle_sdl2>
2021-09-29 14:56:07:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 14:56:07:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 14:56:07:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 14:56:07:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 14:56:07:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 14:56:07:[GL          ] Texture max size <16384>
2021-09-29 14:56:07:[GL          ] Texture max units <16>
2021-09-29 14:56:07:[Window      ] auto add sdl2 input provider
